Symbol,Name,Sector,Industry,Summary Quote,Exchange
ORMP,Oramed Pharmaceuticals Inc.,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/ormp,NASDAQ
AEYE,"AudioEye, Inc.",Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/aeye,NASDAQ
FTEK,"Fuel Tech, Inc.",Capital Goods,Pollution Control Equipment,https://www.nasdaq.com/symbol/ftek,NASDAQ
ANFI,Amira Nature Foods Ltd,Consumer Non-Durables,Packaged Foods,https://www.nasdaq.com/symbol/anfi,NYSE
VUZI,Vuzix Corporation,Technology,Radio And Television Broadcasting And Communications Equipment,https://www.nasdaq.com/symbol/vuzi,NASDAQ
