ACH,Aluminum Corporation of China Limited,Basic Industries,Aluminum,https://www.nasdaq.com/symbol/ach,NYSE
SEE,Sealed Air Corporation,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/see,NYSE
CSL,Carlisle Companies Incorporated,Basic Industries,Specialty Chemicals,https://www.nasdaq.com/symbol/csl,NYSE
FBHS,"Fortune Brands Home & Security, Inc.",Basic Industries,Homebuilding,https://www.nasdaq.com/symbol/fbhs,NYSE
ICL,Israel Chemicals Shs,Basic Industries,Agricultural Chemicals,https://www.nasdaq.com/symbol/icl,NYSE
KL,Kirkland Lake Gold Ltd.,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/kl,NYSE
CC,Chemours Company (The),Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/cc,NYSE
AXTA,Axalta Coating Systems Ltd.,Basic Industries,Paints/Coatings,https://www.nasdaq.com/symbol/axta,NYSE
RS,Reliance Steel & Aluminum Co.,Basic Industries,Metal Fabrications,https://www.nasdaq.com/symbol/rs,NYSE
RGLD,"Royal Gold, Inc.",Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/rgld,NASDAQ
HXL,Hexcel Corporation,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/hxl,NYSE
HUN,Huntsman Corporation,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/hun,NYSE
FLR,Fluor Corporation,Basic Industries,Military/Government/Technical,https://www.nasdaq.com/symbol/flr,NYSE
VSM,"Versum Materials, Inc.",Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/vsm,NYSE
TX,Ternium S.A.,Basic Industries,Steel/Iron Ore,https://www.nasdaq.com/symbol/tx,NYSE
AU,AngloGold Ashanti Limited,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/au,NYSE
SHI,"SINOPEC Shangai Petrochemical Company, Ltd.",Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/shi,NYSE
AA,Alcoa Corporation,Basic Industries,Aluminum,https://www.nasdaq.com/symbol/aa,NYSE
SRCL,"Stericycle, Inc.",Basic Industries,Environmental Services,https://www.nasdaq.com/symbol/srcl,NASDAQ
GRA,W.R. Grace & Co.,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/gra,NYSE
MDU,"MDU Resources Group, Inc.",Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),https://www.nasdaq.com/symbol/mdu,NYSE
NEU,NewMarket Corporation,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/neu,NYSE
NGVT,Ingevity Corporation,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/ngvt,NYSE
CCJ,Cameco Corporation,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/ccj,NYSE
MEOH,Methanex Corporation,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/meoh,NASDAQ
SMG,Scotts Miracle-Gro Company (The),Basic Industries,Agricultural Chemicals,https://www.nasdaq.com/symbol/smg,NYSE
TREX,"Trex Company, Inc.",Basic Industries,Forest Products,https://www.nasdaq.com/symbol/trex,NYSE
KGC,Kinross Gold Corporation,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/kgc,NYSE
BVN,Buenaventura Mining Company Inc.,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/bvn,NYSE
OLN,Olin Corporation,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/oln,NYSE
